# Input file name  = bc03/models/Geneva1994/chabrier/bc2003_hr_m64_chab_ssp.ised
# Output file name = spectra/original/model_template_hr.csv
# Record         136         153         161         169         177         185
# Column           2           3           4           5           6           7
# SED(Lo/A)       at          at          at          at          at          at    
# Lambda(A)  1.01519E+09 3.00000E+09 5.00000E+09 7.00000E+09 9.00000E+09 1.10000E+10
3.792000E+03 1.20801E-04 2.81874E-05 1.43210E-05 9.97026E-06 7.27973E-06 5.64818E-06
3.793000E+03 1.13640E-04 2.68845E-05 1.36360E-05 9.43605E-06 6.83909E-06 5.27582E-06
3.794000E+03 1.04927E-04 2.57049E-05 1.30675E-05 9.00116E-06 6.50209E-06 5.00667E-06
3.795000E+03 9.53727E-05 2.41979E-05 1.25282E-05 8.65627E-06 6.28502E-06 4.86073E-06
3.796000E+03 8.60139E-05 2.27283E-05 1.18985E-05 8.31746E-06 6.09125E-06 4.72746E-06
3.797000E+03 7.76464E-05 2.12027E-05 1.12044E-05 7.84549E-06 5.75879E-06 4.47478E-06
3.798000E+03 7.56521E-05 2.05914E-05 1.08719E-05 7.68509E-06 5.65452E-06 4.37145E-06
3.799000E+03 8.05080E-05 2.18288E-05 1.14953E-05 8.08346E-06 5.90976E-06 4.54437E-06
3.800000E+03 9.26982E-05 2.49626E-05 1.31349E-05 9.26543E-06 6.80229E-06 5.24741E-06
3.801000E+03 1.05916E-04 2.77475E-05 1.45921E-05 1.02617E-05 7.51902E-06 5.80101E-06
3.802000E+03 1.18619E-04 3.06306E-05 1.60278E-05 1.13044E-05 8.31603E-06 6.45408E-06
3.803000E+03 1.27828E-04 3.22941E-05 1.68188E-05 1.18119E-05 8.66706E-06 6.72234E-06
3.804000E+03 1.33516E-04 3.30016E-05 1.70203E-05 1.19141E-05 8.72382E-06 6.76716E-06
3.805000E+03 1.33647E-04 3.23791E-05 1.64623E-05 1.13872E-05 8.25551E-06 6.37368E-06
3.806000E+03 1.32704E-04 3.13231E-05 1.57571E-05 1.08260E-05 7.81396E-06 6.02752E-06
3.807000E+03 1.34028E-04 3.09112E-05 1.55399E-05 1.07054E-05 7.70654E-06 5.90242E-06
3.808000E+03 1.40520E-04 3.20739E-05 1.61771E-05 1.11559E-05 8.04090E-06 6.16280E-06
3.809000E+03 1.48601E-04 3.36596E-05 1.70528E-05 1.18276E-05 8.55895E-06 6.56865E-06
3.810000E+03 1.54200E-04 3.47339E-05 1.75231E-05 1.20673E-05 8.69840E-06 6.67613E-06
3.811000E+03 1.54733E-04 3.42204E-05 1.71298E-05 1.17548E-05 8.44916E-06 6.47550E-06
3.812000E+03 1.47779E-04 3.19453E-05 1.57981E-05 1.06633E-05 7.56025E-06 5.75635E-06
3.813000E+03 1.38922E-04 2.94182E-05 1.43580E-05 9.64491E-06 6.81006E-06 5.18123E-06
3.814000E+03 1.30735E-04 2.70545E-05 1.30425E-05 8.64213E-06 6.01606E-06 4.52938E-06
3.815000E+03 1.30537E-04 2.60781E-05 1.24390E-05 8.29453E-06 5.78862E-06 4.35388E-06
3.816000E+03 1.35151E-04 2.68849E-05 1.28317E-05 8.53702E-06 5.92592E-06 4.42516E-06
3.817000E+03 1.42212E-04 2.83716E-05 1.34263E-05 8.84825E-06 6.11571E-06 4.57707E-06
3.818000E+03 1.43832E-04 2.82846E-05 1.32506E-05 8.67288E-06 5.94793E-06 4.42844E-06
3.819000E+03 1.39370E-04 2.66653E-05 1.22297E-05 7.81039E-06 5.24897E-06 3.88217E-06
3.820000E+03 1.34665E-04 2.49908E-05 1.13929E-05 7.35864E-06 4.98464E-06 3.69196E-06
3.821000E+03 1.33120E-04 2.51656E-05 1.16792E-05 7.61500E-06 5.17222E-06 3.80269E-06
3.822000E+03 1.34027E-04 2.64753E-05 1.23955E-05 8.05994E-06 5.49484E-06 4.07568E-06
3.823000E+03 1.31588E-04 2.64547E-05 1.23594E-05 8.02440E-06 5.45981E-06 4.04615E-06
3.824000E+03 1.24538E-04 2.46415E-05 1.12787E-05 7.12851E-06 4.74291E-06 3.48981E-06
3.825000E+03 1.17319E-04 2.25845E-05 1.01529E-05 6.43968E-06 4.30411E-06 3.18879E-06
3.826000E+03 1.12697E-04 2.16569E-05 9.79934E-06 6.22806E-06 4.15753E-06 3.06327E-06
3.827000E+03 1.10780E-04 2.16219E-05 9.92912E-06 6.37334E-06 4.29499E-06 3.17498E-06
3.828000E+03 1.09737E-04 2.19315E-05 1.02650E-05 6.66891E-06 4.54683E-06 3.38241E-06
3.829000E+03 1.08761E-04 2.23029E-05 1.06026E-05 6.97959E-06 4.83037E-06 3.63293E-06
3.830000E+03 1.04761E-04 2.19619E-05 1.05035E-05 6.95606E-06 4.83959E-06 3.64976E-06
3.831000E+03 9.77658E-05 2.07289E-05 9.95834E-06 6.57458E-06 4.57635E-06 3.46471E-06
3.832000E+03 8.79762E-05 1.88726E-05 9.11380E-06 6.05613E-06 4.23507E-06 3.21149E-06
