wavelengths 1 3 5 7 9 11
3031.12623449 7.273250927816769e-05 1.6400344455216038e-05 8.971885107826422e-06 5.83295989999628e-06 4.029473947288798e-06 2.9552199134586296e-06
3031.6314643 7.181392840845971e-05 1.562708034925921e-05 8.367517383176864e-06 5.353875931490575e-06 3.645691123619066e-06 2.6408463278346987e-06
3032.13677832 6.208797887137396e-05 1.2107967878320979e-05 6.224553992398054e-06 3.87817836187127e-06 2.5808560585506898e-06 1.8381585322138794e-06
3032.64217656 6.907589491719006e-05 1.4460617486912124e-05 7.670810702381064e-06 4.892807446091757e-06 3.330191652266996e-06 2.41955181153887e-06
3033.14765905 8.478134541788147e-05 2.0735683262872086e-05 1.1761741521065956e-05 7.867451321963667e-06 5.590072153094034e-06 4.2074372049321754e-06
3033.65322579 8.578541457307215e-05 2.1936028957654686e-05 1.2735332456892386e-05 8.665478115238333e-06 6.252576018574847e-06 4.767673590621608e-06
3034.1588768 8.062323643436149e-05 2.0563950015658293e-05 1.195679175215898e-05 8.149982081212547e-06 5.889119454193319e-06 4.498307448771021e-06
3034.66461208 7.722680785366493e-05 1.906397103740679e-05 1.0901118225856286e-05 7.336372201000733e-06 5.237779368981039e-06 3.958716218693044e-06
3035.17043167 7.535856349070206e-05 1.7741947364070277e-05 9.991310659002278e-06 6.654446682817916e-06 4.707689033530157e-06 3.52980400715501e-06
3035.67633557 7.840228328630899e-05 1.951091049200938e-05 1.1303285893711576e-05 7.685779202204292e-06 5.542289986435414e-06 4.223833522498238e-06
3036.18232379 8.40700038342899e-05 2.155538119777389e-05 1.2523124549357356e-05 8.511216570264828e-06 6.126452681828966e-06 4.657628218151134e-06
3036.68839635 8.434913245502476e-05 2.0204016441907116e-05 1.13102094497651e-05 7.463147131657563e-06 5.2206874220310465e-06 3.8647903674207926e-06
3037.19455326 7.99427924498429e-05 1.7721274264873425e-05 9.486788709337499e-06 6.032544738809076e-06 4.065725167263794e-06 2.9028247789535726e-06
3037.70079454 6.813730440861106e-05 1.3181205086122699e-05 6.628311358679847e-06 4.0278133670678945e-06 2.5998251715408657e-06 1.7881871593377194e-06
3038.20712019 5.5851747827473196e-05 8.373878503567327e-06 3.7734234941673644e-06 2.137855511458321e-06 1.3012610413976896e-06 8.602127647338878e-07
3038.71353025 5.472282088850765e-05 8.751113079238113e-06 4.0904615966248444e-06 2.384029935681653e-06 1.4927512033368036e-06 1.011696283780033e-06
3039.22002471 6.29457506156619e-05 1.304054164806842e-05 6.88002869446819e-06 4.346382458469327e-06 2.91833519400694e-06 2.083569911385952e-06
3039.72660359 7.158839358727027e-05 1.6247944641775398e-05 8.98251951351096e-06 5.8703721680170385e-06 4.068187262873245e-06 2.9830349801213484e-06
3040.23326691 7.558751591156623e-05 1.6813441165763453e-05 9.262518877122008e-06 6.050530480211038e-06 4.196669070577082e-06 3.083457081136427e-06
3040.74001469 7.804593153442127e-05 1.7381012143841124e-05 9.490847517073217e-06 6.152769944303492e-06 4.236386306875757e-06 3.092181343117103e-06
3041.24684692 7.417392933697895e-05 1.61082324607385e-05 8.618351224870633e-06 5.501035189665651e-06 3.7326423097563883e-06 2.689909305268667e-06
3041.75376364 7.059972762999289e-05 1.5505154905611577e-05 8.313435837695136e-06 5.309118020055522e-06 3.60096550112062e-06 2.592562250730304e-06
3042.26076485 6.935537943937379e-05 1.5621275477152403e-05 8.393243055049214e-06 5.354129461943119e-06 3.6229167597205946e-06 2.6025134695587865e-06
3042.76785057 6.238350828881859e-05 1.2960286494156992e-05 6.697735469108149e-06 4.1455518619182374e-06 2.7234397141036653e-06 1.9071632855136713e-06
3043.2750208 6.156569489084567e-05 1.2552738446446502e-05 6.579968203605835e-06 4.1257956909188535e-06 2.745371264459695e-06 1.9415892626343946e-06
3043.78227558 6.859331894776773e-05 1.5003536998341156e-05 8.202129361445362e-06 5.325076901011792e-06 3.669877377430001e-06 2.682063342168313e-06
3044.2896149 7.546585735889853e-05 1.7157890790569246e-05 9.549575008479304e-06 6.297901260467128e-06 4.411520331006191e-06 3.276641738975416e-06
3044.79703879 7.311107628930705e-05 1.648351065234086e-05 9.169439755995942e-06 6.049868445278303e-06 4.241214854497294e-06 3.152665631643219e-06
3045.30454725 7.340053485729446e-05 1.701842052930199e-05 9.53185227508867e-06 6.3063021295200025e-06 4.4264561563922056e-06 3.2899037286920086e-06
3045.81214031 7.184940624754782e-05 1.715542186597773e-05 9.704779841014478e-06 6.457566377073076e-06 4.551217475270674e-06 3.3929243086894753e-06
3046.31981797 7.916657679964257e-05 1.9293628400359912e-05 1.0911960682610968e-05 7.245882902741199e-06 5.092926043151691e-06 3.7825458926686718e-06
3046.82758025 8.621299227834237e-05 2.102744842376146e-05 1.1730271962845893e-05 7.685060979002914e-06 5.327239613232895e-06 3.898445576236707e-06
